ID,SiteFK,Circle,Orientation,Code,Species
2786,78,4,D,DCD,"American beech"
2782,78,3,E,DBZ,"American beech"
2779,78,3,B,DBW,"American beech"
2706,2,3,D,EJK,"American beech"
2703,2,3,A,EJH,"Birch spp."
2700,2,2,C,EJO,"Paper birch"
2697,2,1,E,EJV,"American hornbeam"
3176,93,1,B,DRD,Blackgum
3683,104,2,B,EEJ,"White mulberry"
3680,109,4,C,EKN,N/A
3677,109,3,E,EKK,N/A
3674,109,3,B,EKH,N/A
3670,109,2,C,EKD,N/A
3663,109,1,A,EJW,N/A
3681,109,4,D,EKO,N/A
3678,109,4,A,EKL,N/A
3675,109,3,C,EKI,N/A
3672,109,2,E,EKF,N/A
3671,109,2,D,EKE,N/A
3647,77,9,A,DAR,Boxelder
3646,108,2,E,EJF,N/A
3645,108,2,D,EJE,N/A
3644,108,2,C,EJD,N/A
3643,108,2,B,EJC,N/A
3642,108,2,A,EJB,N/A
3641,108,1,E,EJA,N/A
3640,108,1,D,EIZ,N/A
3639,108,1,C,EIY,N/A
3638,108,1,B,EIX,N/A
3637,108,1,A,EIW,N/A
3635,77,8,C,DAO,"American hornbeam"
3634,107,5,E,EIT,Chokecherry
3633,107,5,D,EIS,"Sugar maple"
3632,107,5,C,EIR,"Hop hornbeam"
3631,107,5,B,EIQ,"Blue beech"
3630,107,5,A,EIP,"Hop hornbeam"
3629,107,4,E,EIO,"Hop hornbeam"
3628,107,4,D,EIN,"Trembling aspen"
3627,107,4,C,EIM,"Hop hornbeam"
3626,107,4,B,EIL,"Dogwood spp."
3625,107,4,A,EIK,"Sugar maple"
3624,107,3,E,EIJ,"Sugar maple"
3623,107,3,D,EII,"Common buckthorn"
3622,107,3,C,EIH,"Sugar maple"
3621,107,3,B,EIG,"Hop hornbeam"
3620,107,3,A,EIF,"Hop hornbeam"
3619,107,2,E,EIE,"Sugar maple"
3618,107,2,D,EID,"Pin cherry"
3617,107,2,C,EIC,"Hop hornbeam"
3616,107,2,B,EIB,"Sugar maple"
3615,107,2,A,EIA,"Sugar maple"
3614,107,1,E,EHZ,"Hop hornbeam"
3613,107,1,D,EHY,"Yellow birch"
3612,107,1,C,EHX,"Sugar maple"
3611,107,1,B,EHW,"Sugar maple"
3610,107,1,A,EHV,"Blue beech"
703,111,1,A,AAA,N/A
3558,105,6,E,EFV,N/A
3557,105,6,D,EFU,N/A
3556,105,6,C,EFT,N/A
3555,105,6,B,EFS,N/A
3554,105,6,A,EFR,N/A
3553,105,5,E,EFQ,N/A
3552,105,5,D,EFP,N/A
3551,105,5,C,EFO,N/A
