"cell","year","jd_wk","obs_days"
508.1,2018,217,4
508.1,2018,224,4
508.1,2018,231,3
508.1,2018,238,1
508.1,2018,245,1
508.1,2018,252,2
508.1,2018,259,2
508.1,2018,266,1
508.1,2018,287,1
513.1,2017,259,1
514.1,2017,126,2
514.1,2017,133,1
514.1,2017,140,4
514.1,2017,147,2
514.1,2017,161,3
514.1,2017,168,2
514.1,2017,175,3
514.1,2017,182,2
514.1,2017,189,2
514.1,2017,210,3
514.1,2017,217,4
514.1,2017,224,1
514.1,2017,238,1
514.1,2017,252,1
514.1,2017,308,1
514.1,2017,315,1
514.1,2017,322,2
514.1,2017,343,1
514.1,2018,126,1
514.1,2018,140,1
514.1,2018,147,1
514.1,2018,154,1
514.1,2018,161,2
514.1,2018,168,1
514.1,2018,175,3
514.1,2018,182,3
514.1,2018,189,5
514.1,2018,196,1
514.1,2018,210,2
514.1,2018,217,1
514.1,2018,224,1
514.1,2018,231,5
514.1,2018,238,3
514.1,2018,245,5
514.1,2018,252,4
514.1,2018,259,1
514.1,2018,266,1
514.1,2018,273,5
514.1,2018,294,1
533.1,2017,147,1
533.1,2017,154,1
533.1,2017,161,2
533.1,2017,189,4
533.1,2017,196,1
533.1,2017,203,2
533.1,2017,210,1
533.1,2017,252,1
533.1,2017,273,1
533.1,2017,280,1
533.1,2018,126,1
533.1,2018,147,1
533.1,2018,168,1
533.1,2018,175,2
533.1,2018,182,2
533.1,2018,196,3
533.1,2018,203,1
533.1,2018,210,2
533.1,2018,224,3
533.1,2018,231,1
533.1,2018,238,1
533.1,2018,245,2
533.1,2018,259,3
533.1,2018,287,1
534.1,2017,14,2
534.1,2017,21,2
534.1,2017,35,1
534.1,2017,42,2
534.1,2017,49,3
534.1,2017,63,2
534.1,2017,77,2
534.1,2017,91,7
534.1,2017,98,9
534.1,2017,105,9
534.1,2017,112,10
534.1,2017,119,15
534.1,2017,126,10
534.1,2017,133,14
534.1,2017,140,18
534.1,2017,147,24
534.1,2017,154,23
534.1,2017,161,39
534.1,2017,168,35
534.1,2017,175,39
534.1,2017,182,46
534.1,2017,189,48
534.1,2017,196,49
534.1,2017,203,52
534.1,2017,210,50
534.1,2017,217,47
534.1,2017,224,48
534.1,2017,231,57
534.1,2017,238,57
534.1,2017,245,38
534.1,2017,252,57
534.1,2017,259,44
534.1,2017,266,31
534.1,2017,273,25
534.1,2017,280,17
534.1,2017,287,13
534.1,2017,294,2
534.1,2017,301,1
534.1,2017,315,2
534.1,2017,336,1
534.1,2017,343,1
534.1,2018,7,4
534.1,2018,14,2
534.1,2018,21,3
534.1,2018,35,1
534.1,2018,56,4
534.1,2018,63,1
534.1,2018,77,1
534.1,2018,84,3
534.1,2018,91,5
534.1,2018,98,1
534.1,2018,105,2
534.1,2018,112,42
534.1,2018,119,44
534.1,2018,126,21
534.1,2018,133,75
534.1,2018,140,95
534.1,2018,147,72
534.1,2018,154,88
534.1,2018,161,85
534.1,2018,168,114
534.1,2018,175,96
534.1,2018,182,85
534.1,2018,189,100
534.1,2018,196,123
534.1,2018,203,137
534.1,2018,210,102
534.1,2018,217,127
534.1,2018,224,143
534.1,2018,231,117
534.1,2018,238,96
534.1,2018,245,81
534.1,2018,252,105
534.1,2018,259,51
534.1,2018,266,56
534.1,2018,273,14
534.1,2018,280,16
534.1,2018,287,32
534.1,2018,294,17
534.1,2018,301,12
534.1,2018,308,6
534.1,2018,322,5
534.1,2018,329,3
534.1,2018,336,2
534.1,2018,343,3
534.1,2018,350,2
534.1,2018,357,1
535.1,2017,0,1
535.1,2017,28,1
535.1,2017,70,1
535.1,2017,84,2
535.1,2017,91,3
535.1,2017,98,1
535.1,2017,105,1
535.1,2017,112,3
535.1,2017,119,3
535.1,2017,126,8
535.1,2017,133,3
535.1,2017,140,6
535.1,2017,147,9
535.1,2017,154,10
535.1,2017,161,16
535.1,2017,168,16
535.1,2017,175,9
535.1,2017,182,9
535.1,2017,189,11
535.1,2017,196,19
535.1,2017,203,15
535.1,2017,210,13
535.1,2017,217,26
535.1,2017,224,22
535.1,2017,231,13
535.1,2017,238,17
535.1,2017,245,24
535.1,2017,252,24
535.1,2017,259,15
535.1,2017,266,12
535.1,2017,273,16
535.1,2017,280,6
535.1,2017,287,3
535.1,2017,294,2
535.1,2017,301,1
535.1,2017,315,1
535.1,2017,329,1
535.1,2017,336,2
535.1,2018,42,1
535.1,2018,56,2
535.1,2018,77,1
535.1,2018,91,1
535.1,2018,105,1
535.1,2018,112,7
535.1,2018,119,23
535.1,2018,126,27
535.1,2018,133,29
535.1,2018,140,31
535.1,2018,147,29
535.1,2018,154,39
535.1,2018,161,26
535.1,2018,168,27
535.1,2018,175,21
535.1,2018,182,39
535.1,2018,189,22
535.1,2018,196,45
535.1,2018,203,26
535.1,2018,210,35
535.1,2018,217,30
535.1,2018,224,30
535.1,2018,231,31
535.1,2018,238,23
535.1,2018,245,38
535.1,2018,252,26
535.1,2018,259,13
535.1,2018,266,5
535.1,2018,273,4
535.1,2018,280,2
535.1,2018,287,7
535.1,2018,294,3
535.1,2018,301,2
535.1,2018,315,2
535.1,2018,322,2
535.1,2018,329,1
535.1,2018,336,1
535.1,2018,343,3
536.1,2017,98,1
536.1,2017,126,3
536.1,2017,133,2
536.1,2017,147,1
536.1,2017,154,2
536.1,2017,161,5
536.1,2017,168,2
536.1,2017,175,1
536.1,2017,182,6
536.1,2017,189,2
536.1,2017,196,4
536.1,2017,203,2
536.1,2017,210,3
536.1,2017,217,2
536.1,2017,224,10
536.1,2017,231,6
536.1,2017,238,2
536.1,2017,245,3
536.1,2017,252,6
536.1,2017,259,5
536.1,2017,266,2
536.1,2017,280,1
536.1,2017,315,1
536.1,2018,7,1
536.1,2018,56,2
536.1,2018,98,1
536.1,2018,119,3
536.1,2018,126,2
536.1,2018,133,3
536.1,2018,140,2
536.1,2018,147,4
536.1,2018,154,3
536.1,2018,161,12
536.1,2018,168,6
536.1,2018,175,4
536.1,2018,182,13
536.1,2018,189,11
536.1,2018,196,6
536.1,2018,203,7
536.1,2018,210,11
536.1,2018,217,6
536.1,2018,224,16
536.1,2018,231,8
536.1,2018,238,11
536.1,2018,245,9
536.1,2018,252,6
536.1,2018,259,5
536.1,2018,266,1
536.1,2018,273,1
536.1,2018,287,3
536.1,2018,294,2
536.1,2018,301,1
536.1,2018,315,2
537.1,2017,147,1
537.1,2017,154,1
537.1,2017,161,5
537.1,2017,175,1
537.1,2017,210,1
537.1,2017,217,1
537.1,2018,140,1
537.1,2018,147,1
537.1,2018,154,2
537.1,2018,161,6
537.1,2018,168,4
537.1,2018,175,5
537.1,2018,182,5
537.1,2018,189,2
537.1,2018,196,5
537.1,2018,203,1
537.1,2018,210,4
537.1,2018,217,1
537.1,2018,224,3
537.1,2018,231,1
537.1,2018,245,1
537.1,2018,252,1
537.1,2018,287,1
538.1,2017,147,2
538.1,2017,154,5
538.1,2017,161,3
538.1,2017,175,1
538.1,2017,182,4
538.1,2017,189,2
538.1,2017,196,2
538.1,2017,203,1
538.1,2017,210,3
538.1,2017,217,2
538.1,2017,245,1
538.1,2017,252,1
538.1,2018,133,2
538.1,2018,147,1
538.1,2018,168,1
538.1,2018,182,1
538.1,2018,189,1
538.1,2018,196,1
538.1,2018,203,6
538.1,2018,210,3
538.1,2018,231,1
538.1,2018,238,2
538.1,2018,259,1
539.1,2018,112,1
540.1,2017,84,1
540.1,2017,91,1
540.1,2017,98,2
540.1,2017,105,4
540.1,2017,112,3
540.1,2017,119,5
540.1,2017,126,4
540.1,2017,133,9
540.1,2017,140,7
540.1,2017,147,8
540.1,2017,154,11
540.1,2017,161,9
540.1,2017,168,9
540.1,2017,175,17
540.1,2017,182,13
540.1,2017,189,17
540.1,2017,196,13
540.1,2017,203,13
540.1,2017,210,12
540.1,2017,217,6
540.1,2017,224,7
540.1,2017,231,8
540.1,2017,238,10
540.1,2017,245,6
540.1,2017,252,7
540.1,2017,259,7
540.1,2017,266,5
540.1,2017,273,5
540.1,2017,280,6
540.1,2017,287,4
540.1,2017,294,2
540.1,2017,301,1
540.1,2018,0,1
540.1,2018,63,1
540.1,2018,70,1
540.1,2018,84,2
540.1,2018,91,1
540.1,2018,112,1
540.1,2018,119,1
540.1,2018,126,7
540.1,2018,133,7
540.1,2018,140,7
540.1,2018,147,16
540.1,2018,154,9
540.1,2018,161,13
540.1,2018,168,15
540.1,2018,175,11
540.1,2018,182,18
540.1,2018,189,20
540.1,2018,196,15
540.1,2018,203,13
540.1,2018,210,19
540.1,2018,217,14
540.1,2018,224,14
540.1,2018,231,18
540.1,2018,238,12
540.1,2018,245,12
540.1,2018,252,8
540.1,2018,259,5
540.1,2018,266,7
540.1,2018,273,9
540.1,2018,280,4
540.1,2018,287,1
540.1,2018,294,1
540.1,2018,301,1
541.1,2017,28,1
541.1,2017,35,1
541.1,2017,42,1
541.1,2017,49,1
541.1,2017,56,2
541.1,2017,63,2
541.1,2017,70,2
541.1,2017,77,2
541.1,2017,84,2
541.1,2017,98,2
541.1,2017,105,1
541.1,2017,112,2
541.1,2017,119,3
541.1,2017,126,4
541.1,2017,133,9
541.1,2017,140,7
541.1,2017,147,6
541.1,2017,154,7
541.1,2017,161,10
541.1,2017,168,8
541.1,2017,175,17
541.1,2017,182,15
541.1,2017,189,17
541.1,2017,196,20
541.1,2017,203,7
541.1,2017,210,17
541.1,2017,217,16
541.1,2017,224,22
541.1,2017,231,14
541.1,2017,238,9
541.1,2017,245,8
541.1,2017,252,6
541.1,2017,259,5
541.1,2017,266,14
541.1,2017,273,8
541.1,2017,280,3
541.1,2017,287,7
541.1,2017,294,8
541.1,2017,301,3
541.1,2017,308,2
541.1,2017,329,1
541.1,2017,343,1
541.1,2017,350,1
541.1,2018,0,1
541.1,2018,7,2
541.1,2018,14,1
541.1,2018,21,1
541.1,2018,42,2
541.1,2018,56,2
541.1,2018,63,1
541.1,2018,70,1
541.1,2018,84,5
541.1,2018,91,1
541.1,2018,105,2
541.1,2018,112,11
541.1,2018,119,9
541.1,2018,126,11
541.1,2018,133,14
541.1,2018,140,19
541.1,2018,147,27
541.1,2018,154,14
541.1,2018,161,21
541.1,2018,168,20
541.1,2018,175,22
541.1,2018,182,26
541.1,2018,189,27
541.1,2018,196,18
541.1,2018,203,17
541.1,2018,210,28
541.1,2018,217,20
541.1,2018,224,20
541.1,2018,231,17
541.1,2018,238,13
541.1,2018,245,20
541.1,2018,252,6
541.1,2018,259,6
541.1,2018,266,2
541.1,2018,273,10
541.1,2018,280,7
541.1,2018,287,6
541.1,2018,294,2
541.1,2018,301,1
541.1,2018,308,2
541.1,2018,336,1
541.1,2018,350,2
541.1,2018,357,1
560.1,2017,161,1
560.1,2018,189,1
561.1,2017,91,1
561.1,2017,112,1
561.1,2017,119,2
561.1,2017,126,1
561.1,2017,133,1
561.1,2017,140,1
561.1,2017,147,2
561.1,2017,154,2
561.1,2017,161,2
561.1,2017,168,2
561.1,2017,175,3
561.1,2017,182,4
561.1,2017,189,6
561.1,2017,196,11
561.1,2017,203,6
561.1,2017,210,7
561.1,2017,217,1
561.1,2017,224,7
561.1,2017,231,7
561.1,2017,238,4
561.1,2017,245,5
561.1,2017,252,32
561.1,2017,259,20
561.1,2017,266,9
561.1,2017,273,11
561.1,2017,280,10
561.1,2017,287,7
561.1,2017,294,5
561.1,2017,308,3
561.1,2017,315,1
561.1,2017,322,6
561.1,2017,329,7
561.1,2017,336,1
561.1,2018,14,1
561.1,2018,63,1
561.1,2018,70,3
561.1,2018,84,1
561.1,2018,91,1
561.1,2018,105,1
561.1,2018,112,4
561.1,2018,119,9
561.1,2018,126,7
561.1,2018,133,7
561.1,2018,140,13
561.1,2018,147,10
561.1,2018,154,15
561.1,2018,161,12
561.1,2018,168,20
561.1,2018,175,13
561.1,2018,182,6
561.1,2018,189,11
561.1,2018,196,13
561.1,2018,203,15
561.1,2018,210,17
561.1,2018,217,16
561.1,2018,224,12
561.1,2018,231,19
561.1,2018,238,23
561.1,2018,245,22
561.1,2018,252,30
561.1,2018,259,12
561.1,2018,266,28
561.1,2018,273,14
561.1,2018,280,4
561.1,2018,287,9
561.1,2018,294,7
561.1,2018,301,9
561.1,2018,308,2
561.1,2018,322,1
561.1,2018,343,1
562.1,2017,0,1
562.1,2017,7,1
562.1,2017,14,1
562.1,2017,35,3
562.1,2017,42,3
562.1,2017,49,4
562.1,2017,56,2
562.1,2017,63,4
562.1,2017,70,3
562.1,2017,77,4
562.1,2017,84,6
562.1,2017,91,5
562.1,2017,98,3
562.1,2017,105,15
562.1,2017,112,13
562.1,2017,119,8
562.1,2017,126,13
562.1,2017,133,49
562.1,2017,140,14
562.1,2017,147,18
562.1,2017,154,22
562.1,2017,161,18
562.1,2017,168,16
562.1,2017,175,22
562.1,2017,182,28
562.1,2017,189,26
562.1,2017,196,31
562.1,2017,203,39
562.1,2017,210,20
562.1,2017,217,28
562.1,2017,224,30
562.1,2017,231,27
562.1,2017,238,31
562.1,2017,245,31
562.1,2017,252,31
562.1,2017,259,87
562.1,2017,266,36
562.1,2017,273,16
562.1,2017,280,26
562.1,2017,287,14
562.1,2017,294,6
562.1,2017,301,1
562.1,2017,308,6
562.1,2017,315,2
562.1,2017,322,4
562.1,2017,329,4
562.1,2017,336,2
562.1,2017,343,2
562.1,2017,350,3
562.1,2017,357,2
562.1,2018,14,1
562.1,2018,28,1
562.1,2018,35,1
562.1,2018,70,2
562.1,2018,77,6
562.1,2018,84,1
562.1,2018,98,2
562.1,2018,105,4
562.1,2018,112,20
562.1,2018,119,43
562.1,2018,126,18
562.1,2018,133,29
562.1,2018,140,26
562.1,2018,147,48
562.1,2018,154,62
562.1,2018,161,43
562.1,2018,168,61
562.1,2018,175,40
562.1,2018,182,46
562.1,2018,189,55
562.1,2018,196,70
562.1,2018,203,63
562.1,2018,210,78
562.1,2018,217,86
562.1,2018,224,74
562.1,2018,231,62
562.1,2018,238,50
562.1,2018,245,89
562.1,2018,252,81
562.1,2018,259,41
562.1,2018,266,42
562.1,2018,273,29
562.1,2018,280,19
562.1,2018,287,19
562.1,2018,294,16
562.1,2018,301,12
562.1,2018,308,8
562.1,2018,315,6
562.1,2018,322,4
562.1,2018,329,1
562.1,2018,336,2
562.1,2018,350,1
562.1,2018,357,2
563.1,2017,91,1
563.1,2017,98,3
563.1,2017,119,1
563.1,2017,126,2
563.1,2017,133,4
563.1,2017,140,3
563.1,2017,147,7
563.1,2017,154,14
563.1,2017,161,7
563.1,2017,168,11
563.1,2017,175,6
563.1,2017,182,15
563.1,2017,189,7
563.1,2017,196,7
563.1,2017,203,13
563.1,2017,210,9
563.1,2017,217,17
563.1,2017,224,14
563.1,2017,231,10
563.1,2017,238,11
563.1,2017,245,4
563.1,2017,252,8
563.1,2017,259,6
563.1,2017,266,6
563.1,2017,273,4
563.1,2017,280,3
563.1,2017,287,5
563.1,2017,294,1
563.1,2017,301,2
563.1,2017,315,1
563.1,2017,322,1
563.1,2017,343,2
563.1,2017,357,2
563.1,2018,14,2
563.1,2018,21,1
563.1,2018,28,1
563.1,2018,70,1
563.1,2018,105,1
563.1,2018,112,4
563.1,2018,119,5
563.1,2018,126,8
563.1,2018,133,9
563.1,2018,140,14
563.1,2018,147,15
563.1,2018,154,20
563.1,2018,161,24
563.1,2018,168,42
563.1,2018,175,21
563.1,2018,182,48
563.1,2018,189,29
563.1,2018,196,28
563.1,2018,203,28
563.1,2018,210,41
563.1,2018,217,49
563.1,2018,224,44
563.1,2018,231,29
563.1,2018,238,31
563.1,2018,245,36
563.1,2018,252,47
563.1,2018,259,53
563.1,2018,266,39
563.1,2018,273,30
563.1,2018,280,23
563.1,2018,287,15
563.1,2018,294,24
563.1,2018,301,21
563.1,2018,308,12
563.1,2018,315,6
563.1,2018,322,10
563.1,2018,329,1
563.1,2018,336,1
563.1,2018,343,1
563.1,2018,357,1
564.1,2017,49,2
564.1,2017,84,2
564.1,2017,91,2
564.1,2017,105,1
564.1,2017,112,3
564.1,2017,119,2
564.1,2017,126,2
564.1,2017,133,3
564.1,2017,140,3
564.1,2017,147,11
564.1,2017,154,15
564.1,2017,161,12
564.1,2017,168,9
564.1,2017,175,22
564.1,2017,182,30
564.1,2017,189,17
564.1,2017,196,20
564.1,2017,203,27
564.1,2017,210,17
564.1,2017,217,26
564.1,2017,224,19
564.1,2017,231,23
564.1,2017,238,16
564.1,2017,245,5
564.1,2017,252,12
564.1,2017,259,15
564.1,2017,266,10
564.1,2017,273,11
564.1,2017,280,14
564.1,2017,287,8
564.1,2017,294,1
564.1,2017,301,1
564.1,2017,322,1
564.1,2017,343,1
564.1,2017,350,1
564.1,2018,7,1
564.1,2018,63,1
564.1,2018,77,3
564.1,2018,112,1
564.1,2018,119,2
564.1,2018,126,5
564.1,2018,133,7
564.1,2018,140,22
564.1,2018,147,20
564.1,2018,154,18
564.1,2018,161,34
564.1,2018,168,22
564.1,2018,175,38
564.1,2018,182,39
564.1,2018,189,38
564.1,2018,196,40
564.1,2018,203,45
564.1,2018,210,38
564.1,2018,217,38
564.1,2018,224,30
564.1,2018,231,28
564.1,2018,238,22
564.1,2018,245,17
564.1,2018,252,11
564.1,2018,259,23
564.1,2018,266,14
564.1,2018,273,3
564.1,2018,280,11
564.1,2018,287,3
564.1,2018,294,3
564.1,2018,301,4
564.1,2018,315,4
564.1,2018,322,1
564.1,2018,336,1
564.1,2018,350,4
565.1,2017,91,1
565.1,2017,133,14
565.1,2017,140,6
565.1,2017,147,4
565.1,2017,154,4
565.1,2017,161,8
565.1,2017,168,5
565.1,2017,175,5
565.1,2017,182,7
565.1,2017,189,16
565.1,2017,196,10
565.1,2017,203,13
565.1,2017,210,18
565.1,2017,217,19
565.1,2017,224,15
565.1,2017,231,22
565.1,2017,238,13
565.1,2017,245,10
565.1,2017,252,9
565.1,2017,259,10
565.1,2017,266,2
565.1,2017,273,3
565.1,2017,280,1
565.1,2017,287,3
565.1,2017,294,3
565.1,2017,357,1
565.1,2018,28,1
565.1,2018,70,1
565.1,2018,91,1
565.1,2018,119,3
565.1,2018,126,6
565.1,2018,133,7
565.1,2018,140,4
565.1,2018,147,14
565.1,2018,154,22
565.1,2018,161,28
565.1,2018,168,32
565.1,2018,175,41
565.1,2018,182,40
565.1,2018,189,46
565.1,2018,196,35
565.1,2018,203,28
565.1,2018,210,38
565.1,2018,217,47
565.1,2018,224,42
565.1,2018,231,39
565.1,2018,238,28
565.1,2018,245,29
565.1,2018,252,20
565.1,2018,259,19
565.1,2018,266,11
565.1,2018,273,5
565.1,2018,280,6
565.1,2018,287,2
565.1,2018,294,4
565.1,2018,301,2
565.1,2018,308,1
565.1,2018,315,1
565.1,2018,322,1
565.1,2018,329,2
565.1,2018,336,2
565.1,2018,343,1
565.1,2018,350,1
566.1,2017,14,2
566.1,2017,21,1
566.1,2017,35,1
566.1,2017,49,1
566.1,2017,63,1
566.1,2017,77,1
566.1,2017,84,2
566.1,2017,91,4
566.1,2017,98,8
566.1,2017,105,5
566.1,2017,112,27
566.1,2017,119,10
566.1,2017,126,6
566.1,2017,133,13
566.1,2017,140,12
566.1,2017,147,21
566.1,2017,154,18
566.1,2017,161,26
566.1,2017,168,27
566.1,2017,175,28
566.1,2017,182,38
566.1,2017,189,33
566.1,2017,196,33
566.1,2017,203,28
566.1,2017,210,29
566.1,2017,217,39
566.1,2017,224,26
566.1,2017,231,47
566.1,2017,238,32
566.1,2017,245,28
566.1,2017,252,40
566.1,2017,259,28
566.1,2017,266,29
566.1,2017,273,29
566.1,2017,280,14
566.1,2017,287,15
566.1,2017,294,14
566.1,2017,301,4
566.1,2017,308,1
566.1,2017,315,2
566.1,2017,322,3
566.1,2017,329,1
566.1,2017,336,2
566.1,2017,343,2
566.1,2017,350,1
566.1,2018,7,1
566.1,2018,14,1
566.1,2018,35,1
566.1,2018,42,1
566.1,2018,56,1
566.1,2018,63,1
566.1,2018,70,2
566.1,2018,77,1
566.1,2018,84,4
566.1,2018,91,2
566.1,2018,98,10
566.1,2018,105,11
566.1,2018,112,14
566.1,2018,119,17
566.1,2018,126,37
566.1,2018,133,21
566.1,2018,140,33
566.1,2018,147,37
566.1,2018,154,29
566.1,2018,161,38
566.1,2018,168,39
566.1,2018,175,39
566.1,2018,182,57
566.1,2018,189,56
566.1,2018,196,52
566.1,2018,203,66
566.1,2018,210,70
566.1,2018,217,53
566.1,2018,224,49
566.1,2018,231,52
566.1,2018,238,44
566.1,2018,245,50
566.1,2018,252,57
566.1,2018,259,48
566.1,2018,266,43
566.1,2018,273,26
566.1,2018,280,25
566.1,2018,287,23
566.1,2018,294,20
566.1,2018,301,5
566.1,2018,308,13
566.1,2018,315,5
566.1,2018,322,6
566.1,2018,329,5
566.1,2018,336,2
566.1,2018,343,3
566.1,2018,350,2
566.1,2018,357,1
566.1,2018,364,2
567.1,2017,0,1
567.1,2017,14,1
567.1,2017,21,1
567.1,2017,49,1
567.1,2017,56,5
567.1,2017,63,6
567.1,2017,77,2
567.1,2017,84,3
567.1,2017,91,4
567.1,2017,98,13
567.1,2017,105,10
567.1,2017,112,16
567.1,2017,119,10
567.1,2017,126,18
567.1,2017,133,34
567.1,2017,140,24
567.1,2017,147,40
567.1,2017,154,40
567.1,2017,161,35
567.1,2017,168,50
567.1,2017,175,34
567.1,2017,182,44
567.1,2017,189,37
567.1,2017,196,66
567.1,2017,203,58
567.1,2017,210,44
567.1,2017,217,49
567.1,2017,224,60
567.1,2017,231,58
567.1,2017,238,49
567.1,2017,245,37
567.1,2017,252,62
567.1,2017,259,72
567.1,2017,266,39
567.1,2017,273,45
567.1,2017,280,39
567.1,2017,287,32
567.1,2017,294,24
567.1,2017,301,6
567.1,2017,308,6
567.1,2017,315,3
567.1,2017,322,4
567.1,2017,329,2
567.1,2017,336,5
567.1,2017,343,1
567.1,2017,350,1
567.1,2018,0,1
567.1,2018,14,5
567.1,2018,21,2
567.1,2018,28,4
567.1,2018,42,3
567.1,2018,49,5
567.1,2018,56,1
567.1,2018,70,3
567.1,2018,77,2
567.1,2018,84,3
567.1,2018,91,6
567.1,2018,98,5
567.1,2018,105,6
567.1,2018,112,26
567.1,2018,119,34
567.1,2018,126,44
567.1,2018,133,49
567.1,2018,140,43
567.1,2018,147,72
567.1,2018,154,59
567.1,2018,161,81
567.1,2018,168,87
567.1,2018,175,93
567.1,2018,182,103
567.1,2018,189,114
567.1,2018,196,133
567.1,2018,203,129
567.1,2018,210,136
567.1,2018,217,131
567.1,2018,224,117
567.1,2018,231,135
567.1,2018,238,123
567.1,2018,245,116
567.1,2018,252,89
567.1,2018,259,63
567.1,2018,266,61
567.1,2018,273,43
567.1,2018,280,47
567.1,2018,287,31
567.1,2018,294,14
567.1,2018,301,6
567.1,2018,308,17
567.1,2018,315,13
567.1,2018,322,10
567.1,2018,329,9
567.1,2018,336,3
567.1,2018,343,2
567.1,2018,350,6
567.1,2018,357,2
568.1,2017,98,3
568.1,2017,105,3
568.1,2017,112,2
568.1,2017,119,3
568.1,2017,126,2
568.1,2017,133,4
568.1,2017,140,7
568.1,2017,147,4
568.1,2017,154,5
568.1,2017,161,8
568.1,2017,168,8
568.1,2017,175,35
568.1,2017,182,17
568.1,2017,189,16
568.1,2017,196,9
568.1,2017,203,21
568.1,2017,210,34
568.1,2017,217,27
568.1,2017,224,19
568.1,2017,231,30
568.1,2017,238,21
568.1,2017,245,20
568.1,2017,252,16
568.1,2017,259,27
568.1,2017,266,9
568.1,2017,273,15
568.1,2017,280,20
568.1,2017,287,9
568.1,2017,294,7
568.1,2017,301,2
568.1,2017,308,2
568.1,2017,315,1
568.1,2017,357,1
568.1,2018,7,1
568.1,2018,21,1
568.1,2018,42,2
568.1,2018,49,2
568.1,2018,56,1
568.1,2018,84,4
568.1,2018,91,3
568.1,2018,98,4
568.1,2018,105,3
568.1,2018,112,12
568.1,2018,119,19
568.1,2018,126,14
568.1,2018,133,17
568.1,2018,140,23
568.1,2018,147,29
568.1,2018,154,25
568.1,2018,161,34
568.1,2018,168,35
568.1,2018,175,52
568.1,2018,182,41
568.1,2018,189,66
568.1,2018,196,64
568.1,2018,203,50
568.1,2018,210,70
568.1,2018,217,68
568.1,2018,224,60
568.1,2018,231,62
568.1,2018,238,48
568.1,2018,245,35
568.1,2018,252,36
568.1,2018,259,30
568.1,2018,266,29
568.1,2018,273,22
568.1,2018,280,34
568.1,2018,287,14
568.1,2018,294,1
568.1,2018,301,1
568.1,2018,308,5
568.1,2018,315,2
568.1,2018,322,2
568.1,2018,329,4
568.1,2018,343,2
568.1,2018,357,2
588.1,2017,14,1
588.1,2017,42,1
588.1,2017,49,1
588.1,2017,63,1
588.1,2017,70,1
588.1,2017,77,2
588.1,2017,91,2
588.1,2017,98,1
588.1,2017,105,1
588.1,2017,112,2
588.1,2017,119,1
588.1,2017,126,2
588.1,2017,133,4
588.1,2017,140,3
588.1,2017,147,6
588.1,2017,154,12
