"Name"	"Region"	"Latitude"	"Longitude"	"nSurvs"	"nDates"	"nCat"	"pctCat"	"nArth"	"nPhoto"	"pctPhoto"	"county"
"Sault College"	"ON"	46.534499045766	-84.30692999308	508	12	100	0.197	939	93	0.099	NA
"Acadia NP - Alder"	"ME"	44.3424	-68.0528	187	10	10	0.053	99	0	0	NA
"Acadia NP - Sundew"	"ME"	44.3393	-68.0657	139	7	17	0.122	168	0	0	NA
"Beare Swamp in Rouge Park"	"ON"	43.825999432243	-79.154017733419	263	10	8	0.03	135	54	0.4	NA
"RVCC"	"ON"	43.81900252918	-79.170878351185	495	14	31	0.063	644	143	0.222	NA
"Lakeside Lab"	"IA"	43.380076993568	-95.184804093676	197	5	3	0.015	234	16	0.068	"iowa,dickinson"
"Potter Park Zoo"	"MI"	42.717998528105	-84.527592028662	104	7	35	0.337	1528	22	0.014	"michigan,ingham"
"Stage Nature Center"	"MI"	42.616025477569	-83.191449083429	332	27	24	0.072	1012	20	0.02	"michigan,oakland"
"EwA at the Fells"	"MA"	42.445248029672	-71.110382080078	91	9	54	0.593	411	108	0.263	"massachusetts,middlesex"
"EwA at Habitat"	"MA"	42.403868405641	-71.185823360856	60	6	34	0.567	253	59	0.233	"massachusetts,middlesex"
"EwA at Fresh Pond"	"MA"	42.387327000031	-71.145097454995	57	8	2	0.035	114	30	0.263	"massachusetts,middlesex"
"EwA at the Growing Center"	"MA"	42.383419320081	-71.098000215491	41	4	0	0	42	14	0.333	"massachusetts,middlesex"
"Mt. Auburn Cemetery"	"MA"	42.37140748221	-71.14532216979	58	11	4	0.069	39	14	0.359	"massachusetts,middlesex"
"Kalamazoo Nature Center"	"MI"	42.3604	-85.5836	91	4	0	0	623	4	0.006	"michigan,kalamazoo"
"Mass Audubon's Boston Nature Center"	"MA"	42.286004028739	-71.099689938102	298	13	11	0.037	468	122	0.261	"massachusetts,suffolk"
"Mass Audubon's Broadmoor Wildlife Sanctuary"	"MA"	42.256699363244	-71.338917016983	178	7	40	0.225	121	25	0.207	"massachusetts,middlesex"
"Museum of American Bird Art"	"MA"	42.163219926543	-71.139992349488	206	10	45	0.218	437	9	0.021	"massachusetts,norfolk"
"Linda Loring Nature Foundation"	"MA"	41.291998909614	-70.170192718506	290	11	10	0.034	314	12	0.038	NA
"University of Pittsburgh"	"PA"	40.446057779979	-79.953028498109	409	30	2	0.005	315	33	0.105	"pennsylvania,allegheny"
"Crossways Survey"	"PA"	40.174246114537	-75.267440828078	164	29	12	0.073	329	21	0.064	"pennsylvania,montgomery"
"Camp Woods Survey"	"PA"	40.156541404112	-75.244872563774	155	18	5	0.032	390	29	0.074	"pennsylvania,montgomery"
"Schuylkill Center"	"PA"	40.054953538319	-75.249220500715	239	8	7	0.029	1028	29	0.028	"pennsylvania,philadelphia"
"Oregon Ridge Nature Center"	"MD"	39.488104581379	-76.690374462042	289	12	13	0.045	904	53	0.059	"maryland,baltimore"
"Riverbend Park"	"VA"	39.018431674248	-77.246021979731	215	12	49	0.228	699	13	0.019	"maryland,montgomery"
"Scott’s Run Nature Preserve"	"VA"	38.960295138556	-77.196108988279	85	9	9	0.106	146	21	0.144	"virginia,fairfax"
"Walker Nature Center"	"VA"	38.925767408682	-77.341531666344	209	14	39	0.187	695	109	0.157	"virginia,fairfax"
"Georgetown"	"DC"	38.909602349623	-77.07900566587	134	9	4	0.03	542	9	0.017	"district of columbia,washington"
"Site A"	"MO"	38.624382910368	-90.376199371614	211	24	16	0.076	723	35	0.048	"missouri,st louis"
"Woodland Site B"	"MO"	38.620014528971	-90.370217536849	133	18	3	0.023	370	6	0.016	"missouri,st louis"
"Caledon State Park"	"VA"	38.337043666036	-77.135448978811	59	6	7	0.119	437	60	0.137	"virginia,king george"
